id;employee_id;start_date;end_date
1;12637;2023-05-15T22:08:23;2023-05-15T13:33:04
2;73222;2023-05-15T19:11:12;2023-05-15T20:18:52
3;31819;2023-05-15T07:47:03;2023-05-15T05:08:19
4;13012;2023-05-15T05:39:03;2023-05-15T21:27:22
5;3540;2023-05-15T10:48:05;2023-05-15T17:32:32
6;63908;2023-05-16T02:00:10;2023-05-15T06:45:56
7;30311;2023-05-15T06:37:47;2023-05-15T20:39:13
8;70180;2023-05-15T07:05:20;2023-05-15T21:54:56
9;66594;2023-05-15T22:52:35;2023-05-15T20:32:37
10;83472;2023-05-16T00:15:36;2023-05-15T22:01:13
