id;start_date;end_date;salary
1;2023-05-17T04:12:12;2023-05-17T02:02:27;57433
2;2023-05-16T13:39:47;2023-05-16T23:05:16;29253
3;2023-05-16T23:35:59;2023-05-16T11:41:07;92486
4;2023-05-17T04:06:48;2023-05-16T09:33:07;24495
5;2023-05-17T06:23:11;2023-05-16T14:42:09;40804
6;2023-05-16T15:53:54;2023-05-17T05:54:14;85707
7;2023-05-16T23:57:42;2023-05-16T10:31:51;27840
8;2023-05-16T14:23:35;2023-05-16T10:59:24;22582
9;2023-05-16T15:15:13;2023-05-17T02:46:39;28298
10;2023-05-16T11:12:11;2023-05-17T04:09:40;22145
